d,type_1_error_hd,type_1_error_mah,type_1_error_lp,type_1_error_pd,type_1_error_lcd_variant,type_1_error_lcd,type_1_error_pvb,type_1_error_cf,power_hd,power_mah,power_lp,power_pd,power_lcd_variant,power_lcd,power_pvb,power_cf,power_adjusted_hd,power_adjusted_mah,power_adjusted_lp,power_adjusted_pd,power_adjusted_lcd_variant,power_adjusted_lcd,power_adjusted_pvb
2,0.056,0.056,0.05,0.05,0.066,0.07,0.056,0.058,0.05,0.142,0.084,0.1,0.102,0.102,0.148,0.08,0.052,0.136,0.106,0.1,0.114,0.116,0.188
5,0.042,0.07,0.046,0.062,0.066,0.068,0.07,0.066,0.042,0.522,0.152,0.212,0.362,0.364,0.438,0.254,0.04,0.532,0.166,0.274,0.382,0.434,0.426
10,0.05,0.062,0.048,0.05,0.072,0.056,0.058,0.052,0.04,0.876,0.182,0.334,0.662,0.692,0.74,0.554,0.038,0.892,0.188,0.418,0.75,0.764,0.692
20,0.062,0.076,0.07,0.074,0.086,0.068,0.064,0.054,0.052,0.96,0.314,0.548,0.946,0.946,0.878,0.856,0.072,0.936,0.384,0.694,0.97,0.952,0.828
50,0.074,0.996,0.076,0.09,0.064,0.06,0.05,0.044,0.06,0.988,0.482,0.94,1,1,0.95,0.996,0.056,0.014,0.452,0.938,1,1,0.934
