d,type_1_error_hd,type_1_error_mah,type_1_error_lp,type_1_error_pd,type_1_error_lcd,type_1_error_pald,type_1_error_pvb,type_1_error_cf,power_hd,power_mah,power_lp,power_pd,power_lcd,power_pald,power_pvb,power_cf,power_adjusted_hd,power_adjusted_mah,power_adjusted_lp,power_adjusted_pd,power_adjusted_lcd,power_adjusted_pald,power_adjusted_pvb
2,0.068,0.062,0.068,0.068,0.066,0.062,0.054,0.032,0.056,0.056,0.068,0.062,0.066,0.064,0.072,0.056,0.09,0.07999999999999999,0.076,0.068,0.07,0.07,0.07400000000000001
5,0.054,0.066,0.076,0.068,0.066,0.066,0.064,0.036,0.062,0.062,0.082,0.076,0.08,0.07,0.068,0.054,0.068,0.082,0.08399999999999999,0.084,0.086,0.092,0.056
10,0.044,0.052,0.056,0.052,0.05,0.046,0.04,0.044,0.07,0.098,0.102,0.098,0.098,0.096,0.09,0.096,0.068,0.07,0.09,0.094,0.10200000000000001,0.09,0.06
20,0.042,0.112,0.068,0.062,0.062,0.06,0.062,0.054,0.052,0.096,0.092,0.088,0.1,0.086,0.078,0.118,0.068,0.060000000000000005,0.10200000000000001,0.124,0.112,0.122,0.084
50,0.04,0.994,0.06,0.05,0.058,0.058,0.042,0.048,0.112,0.99,0.154,0.142,0.144,0.138,0.086,0.216,0.136,0.05,0.158,0.152,0.166,0.168,0.082
