mu,type_1_error_hd,type_1_error_mah,type_1_error_lp,type_1_error_pd,type_1_error_lcd_variant,type_1_error_lcd,type_1_error_pvb,type_1_error_cf,power_hd,power_mah,power_lp,power_pd,power_lcd_variant,power_lcd,power_pvb,power_cf,power_adjusted_hd,power_adjusted_mah,power_adjusted_lp,power_adjusted_pd,power_adjusted_lcd_variant,power_adjusted_lcd,power_adjusted_pvb
0.5,0.036,0.054,0.066,0.056,0.058,0.052,0.056,0.04,0.766,0.9,0.944,0.944,0.944,0.942,0.832,0.512,0.766,0.906,0.94,0.942,0.948,0.948,0.85
1,0.064,0.066,0.072,0.06,0.06,0.058,0.06,0.056,0.654,0.9,0.91,0.916,0.92,0.926,0.81,0.52,0.65,0.914,0.914,0.924,0.944,0.938,0.806
1.5,0.05,0.084,0.072,0.074,0.074,0.064,0.048,0.046,0.422,0.884,0.818,0.876,0.912,0.924,0.786,0.54,0.386,0.888,0.824,0.902,0.926,0.93,0.802
2,0.04,0.066,0.06,0.05,0.042,0.044,0.046,0.05,0.218,0.88,0.714,0.846,0.912,0.926,0.786,0.59,0.234,0.916,0.692,0.88,0.908,0.95,0.828
2.5,0.054,0.048,0.048,0.054,0.042,0.042,0.044,0.044,0.116,0.884,0.628,0.82,0.914,0.93,0.732,0.554,0.104,0.854,0.628,0.878,0.914,0.922,0.718
3,0.07,0.068,0.074,0.07,0.06,0.056,0.07,0.052,0.078,0.888,0.51,0.796,0.906,0.928,0.72,0.54,0.074,0.888,0.554,0.936,0.934,0.94,0.728
3.5,0.056,0.058,0.06,0.064,0.052,0.05,0.058,0.054,0.056,0.872,0.434,0.83,0.896,0.914,0.688,0.544,0.072,0.858,0.508,0.904,0.926,0.932,0.744
4,0.072,0.05,0.08,0.062,0.06,0.05,0.066,0.024,0.06,0.88,0.344,0.808,0.906,0.918,0.604,0.518,0.068,0.91,0.494,0.896,0.936,0.942,0.642
