d,type_1_error_hd,type_1_error_mah,type_1_error_lp,type_1_error_pd,type_1_error_lcd_variant,type_1_error_lcd,type_1_error_pvb,type_1_error_cf,power_hd,power_mah,power_lp,power_pd,power_lcd_variant,power_lcd,power_pvb,power_cf,power_adjusted_hd,power_adjusted_mah,power_adjusted_lp,power_adjusted_pd,power_adjusted_lcd_variant,power_adjusted_lcd,power_adjusted_pvb
2,0.048,0.072,0.078,0.08,0.074,0.08,0.076,0.05,0.058,0.136,0.104,0.104,0.114,0.114,0.11,0.06,0.082,0.214,0.136,0.118,0.16,0.188,0.188
5,0.058,0.052,0.064,0.054,0.05,0.046,0.072,0.058,0.12,0.594,0.384,0.456,0.532,0.552,0.468,0.226,0.108,0.608,0.344,0.44,0.536,0.592,0.514
10,0.056,0.084,0.066,0.072,0.074,0.074,0.054,0.046,0.238,0.888,0.718,0.848,0.914,0.93,0.78,0.544,0.198,0.884,0.692,0.896,0.92,0.946,0.786
20,0.046,0.086,0.066,0.062,0.05,0.054,0.072,0.042,0.326,0.956,0.944,0.99,0.994,0.996,0.902,0.86,0.376,0.938,0.934,0.994,0.996,0.998,0.926
50,0.052,0.988,0.074,0.05,0.048,0.044,0.046,0.038,0.654,0.982,0.996,1,1,1,0.978,0.992,0.708,0.014,0.996,1,1,1,0.974
