d,type_1_error_hd,type_1_error_mah,type_1_error_lp,type_1_error_pd,type_1_error_lcd,type_1_error_pald,type_1_error_pvb,type_1_error_cf,power_hd,power_mah,power_lp,power_pd,power_lcd,power_pald,power_pvb,power_cf,power_adjusted_hd,power_adjusted_mah,power_adjusted_lp,power_adjusted_pd,power_adjusted_lcd,power_adjusted_pald,power_adjusted_pvb
2,0.086,0.062,0.052,0.06,0.064,0.068,0.076,0.054,0.136,0.108,0.176,0.242,0.256,0.306,0.316,0.05,0.088,0.098,0.15200000000000002,0.196,0.20600000000000002,0.19,0.162
5,0.162,0.078,0.07,0.06,0.054,0.062,0.1,0.028,0.21,0.27,0.31,0.324,0.346,0.376,0.426,0.052,0.074,0.17200000000000001,0.24,0.314,0.29,0.304,0.264
10,0.318,0.216,0.066,0.042,0.044,0.052,0.076,0.06,0.438,0.706,0.532,0.52,0.53,0.544,0.628,0.12,0.068,0.266,0.384,0.45,0.454,0.452,0.448
20,0.594,0.864,0.076,0.06,0.062,0.064,0.11,0.036,0.736,1,0.732,0.682,0.678,0.682,0.772,0.232,0.05,0.456,0.558,0.606,0.61,0.594,0.53
50,0.934,1,0.102,0.06,0.058,0.064,0.136,0.048,0.988,1,0.926,0.884,0.884,0.884,0.93,0.488,0.126,0,0.81,0.848,0.844,0.844,0.746
