d,type_1_error_hd,type_1_error_mah,type_1_error_lp,type_1_error_pd,type_1_error_lcd_variant,type_1_error_lcd,type_1_error_pvb,type_1_error_cf,power_hd,power_mah,power_lp,power_pd,power_lcd_variant,power_lcd,power_pvb,power_cf,power_adjusted_hd,power_adjusted_mah,power_adjusted_lp,power_adjusted_pd,power_adjusted_lcd_variant,power_adjusted_lcd,power_adjusted_pvb
2,0.046,0.034,0.062,0.096,0.08,0.08,0.058,0.044,0.056,0.07,0.07,0.082,0.056,0.062,0.074,0.088,0.06,0.062,0.044,0.044,0.046,0.07,0.046
5,0.024,0.066,0.086,0.092,0.082,0.07,0.052,0.042,0.046,0.398,0.076,0.078,0.094,0.114,0.118,0.224,0.052,0.436,0.074,0.078,0.134,0.134,0.146
10,0.062,0.062,0.23,0.1,0.094,0.076,0.078,0.048,0.048,0.706,0.152,0.078,0.198,0.26,0.188,0.408,0.052,0.606,0.074,0.122,0.358,0.342,0.2
20,0.034,0.12,0.452,0.092,0.098,0.056,0.054,0.042,0.032,0.814,0.386,0.15,0.574,0.646,0.204,0.86,0.024,0.708,0.074,0.2,0.668,0.674,0.262
50,0.048,1,0.766,0.11,0.096,0.07,0.058,0.036,0.058,0.986,0.7,0.446,0.986,0.99,0.21,1,0.064,0.028,0.06,0.554,0.996,0.998,0.188
