d,type_1_error_hd,type_1_error_mah,type_1_error_lp,type_1_error_pd,type_1_error_lcd,type_1_error_pald,type_1_error_pvb,type_1_error_cf,power_hd,power_mah,power_lp,power_pd,power_lcd,power_pald,power_pvb,power_cf,power_adjusted_hd,power_adjusted_mah,power_adjusted_lp,power_adjusted_pd,power_adjusted_lcd,power_adjusted_pald,power_adjusted_pvb
2,0.068,0.062,0.068,0.068,0.066,0.062,0.054,0.032,0.28,0.326,0.322,0.322,0.304,0.3,0.296,0.076,0.316,0.352,0.358,0.338,0.352,0.328,0.298
5,0.054,0.066,0.076,0.068,0.066,0.066,0.064,0.036,0.492,0.682,0.74,0.732,0.726,0.726,0.572,0.236,0.544,0.748,0.766,0.77,0.742,0.762,0.57
10,0.044,0.052,0.056,0.052,0.05,0.046,0.04,0.044,0.806,0.894,0.942,0.932,0.938,0.936,0.824,0.552,0.8,0.884,0.94,0.94,0.942,0.94,0.744
20,0.042,0.112,0.068,0.062,0.062,0.06,0.062,0.054,0.988,0.978,1,1,1,1,0.972,0.872,0.992,0.962,1,1,1,1,0.978
50,0.04,0.994,0.06,0.05,0.058,0.058,0.042,0.048,1,0.982,1,1,1,1,0.996,0.992,1,0.02,1,1,1,1,0.994
