theta,type_1_error_hd,type_1_error_mah,type_1_error_lp,type_1_error_pd,type_1_error_lcd_variant,type_1_error_lcd,type_1_error_pvb,type_1_error_cf,power_hd,power_mah,power_lp,power_pd,power_lcd_variant,power_lcd,power_pvb,power_cf,power_adjusted_hd,power_adjusted_mah,power_adjusted_lp,power_adjusted_pd,power_adjusted_lcd_variant,power_adjusted_lcd,power_adjusted_pvb
0.25,0.054,0.066,0.1,0.06,0.056,0.052,0.046,0.034,0.17,0.736,0.532,1,1,1,0.564,0.96,0.212,0.71,0.756,1,1,1,0.52
0.375,0.054,0.06,0.082,0.064,0.07,0.07,0.068,0.066,0.122,0.742,0.52,0.992,0.994,0.996,0.432,0.926,0.194,0.81,0.698,0.996,0.996,0.996,0.45
0.5,0.054,0.054,0.052,0.054,0.066,0.072,0.032,0.046,0.162,0.792,0.58,0.986,0.996,0.994,0.408,0.818,0.118,0.82,0.624,0.99,0.996,0.996,0.334
0.625,0.044,0.062,0.046,0.052,0.046,0.044,0.044,0.048,0.162,0.864,0.674,0.962,0.988,0.99,0.42,0.758,0.186,0.858,0.69,0.976,0.992,0.996,0.438
0.75,0.052,0.058,0.05,0.056,0.044,0.044,0.05,0.046,0.2,0.898,0.73,0.938,0.974,0.984,0.564,0.682,0.166,0.86,0.73,0.952,0.966,0.978,0.464
0.875,0.054,0.056,0.068,0.06,0.056,0.058,0.058,0.056,0.198,0.906,0.718,0.898,0.936,0.944,0.724,0.602,0.218,0.88,0.704,0.948,0.952,0.958,0.708
1,0.056,0.064,0.052,0.054,0.048,0.052,0.056,0.052,0.218,0.876,0.712,0.846,0.898,0.908,0.776,0.556,0.224,0.876,0.756,0.916,0.926,0.936,0.728
