d,type_1_error_hd,type_1_error_mah,type_1_error_lp,type_1_error_pd,type_1_error_lcd_variant,type_1_error_lcd,type_1_error_pvb,type_1_error_cf,power_hd,power_mah,power_lp,power_pd,power_lcd_variant,power_lcd,power_pvb,power_cf,power_adjusted_hd,power_adjusted_mah,power_adjusted_lp,power_adjusted_pd,power_adjusted_lcd_variant,power_adjusted_lcd,power_adjusted_pvb
2,0.072,0.084,0.058,0.096,0.222,0.288,0.128,0.044,0.08,0.15,0.072,0.134,0.362,0.486,0.27,0.088,0.066,0.068,0.048,0.044,0.07,0.066,0.082
5,0.134,0.356,0.086,0.104,0.272,0.292,0.258,0.042,0.162,0.898,0.158,0.246,0.65,0.724,0.632,0.224,0.056,0.4,0.05,0.078,0.126,0.15,0.144
10,0.212,0.978,0.128,0.124,0.282,0.32,0.274,0.048,0.23,1,0.204,0.362,0.84,0.892,0.74,0.408,0.07,0.678,0.096,0.172,0.406,0.44,0.226
20,0.318,1,0.16,0.114,0.284,0.32,0.278,0.042,0.358,1,0.308,0.59,0.962,0.98,0.694,0.86,0.034,0.49,0.066,0.19,0.636,0.698,0.296
50,0.518,1,0.242,0.134,0.294,0.312,0.246,0.036,0.558,1,0.468,0.854,1,1,0.684,1,0.052,0,0.08,0.562,0.966,0.984,0.212
