d,type_1_error_hd,type_1_error_mah,type_1_error_lp,type_1_error_pd,type_1_error_lcd,type_1_error_pald,type_1_error_pvb,type_1_error_cf,power_hd,power_mah,power_lp,power_pd,power_lcd,power_pald,power_pvb,power_cf,power_adjusted_hd,power_adjusted_mah,power_adjusted_lp,power_adjusted_pd,power_adjusted_lcd,power_adjusted_pald,power_adjusted_pvb
2,0.088,0.066,0.068,0.08,0.072,0.082,0.104,0.032,0.136,0.09,0.096,0.1,0.112,0.136,0.14,0.056,0.092,0.074,0.074,0.07200000000000001,0.07,0.068,0.07
5,0.162,0.158,0.104,0.084,0.09,0.09,0.182,0.036,0.21,0.214,0.15,0.114,0.114,0.138,0.238,0.054,0.076,0.08,0.08800000000000001,0.096,0.086,0.088,0.056
10,0.322,0.724,0.14,0.066,0.064,0.08,0.226,0.044,0.44,0.806,0.236,0.136,0.136,0.158,0.366,0.096,0.068,0.078,0.078,0.096,0.098,0.098,0.056
20,0.594,1,0.258,0.074,0.07,0.082,0.346,0.054,0.74,1,0.42,0.156,0.148,0.17,0.442,0.118,0.05,0.074,0.112,0.128,0.11,0.112,0.08199999999999999
50,0.936,1,0.512,0.072,0.076,0.086,0.422,0.048,0.988,1,0.812,0.242,0.224,0.266,0.628,0.216,0.126,0,0.156,0.156,0.15,0.17200000000000001,0.10400000000000001
