d,type_1_error_hd,type_1_error_mah,type_1_error_lp,type_1_error_pd,type_1_error_lcd_variant,type_1_error_lcd,type_1_error_pvb,type_1_error_cf,power_hd,power_mah,power_lp,power_pd,power_lcd_variant,power_lcd,power_pvb,power_cf,power_adjusted_hd,power_adjusted_mah,power_adjusted_lp,power_adjusted_pd,power_adjusted_lcd_variant,power_adjusted_lcd,power_adjusted_pvb
2,0.048,0.058,0.068,0.088,0.09,0.082,0.066,0.06,0.188,0.266,0.278,0.242,0.218,0.228,0.202,0.072,0.174,0.302,0.302,0.264,0.25,0.292,0.206
5,0.048,0.076,0.06,0.056,0.068,0.064,0.086,0.046,0.334,0.648,0.83,0.734,0.692,0.736,0.348,0.22,0.396,0.566,0.738,0.684,0.646,0.662,0.306
10,0.03,0.088,0.064,0.04,0.064,0.058,0.056,0.042,0.612,0.86,1,0.998,0.996,0.998,0.556,0.464,0.664,0.822,1,0.998,0.998,1,0.568
20,0.062,0.1,0.078,0.074,0.074,0.08,0.062,0.064,0.884,0.806,1,1,1,1,0.73,0.906,0.928,0.712,1,1,1,1,0.738
50,0.044,0.994,0.086,0.094,0.1,0.092,0.072,0.04,1,0.992,1,1,1,1,0.796,1,1,0.032,1,1,1,1,0.742
